name,type,category,power,accuracy,pp,description,move_page_desc,makes_contact,introduced,priority
"10,000,000 Volt Thunderbolt",Electric,Special,195,0,1,Pikachu-exclusive Z-Move. High critical hit ratio.,"10,000,000 Volt Thunderboltis an Electric type Z-Move exclusive toCap Pikachu. It is used withThunderbolt.",No,7,0
Absorb,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.,Absorbdeals damage and the user will recover 50% of the HP drained.,No,1,0
Accelerock,Rock,Physical,40,100,20,User attacks first.,Accelerockdeals damage and has high priority.,Yes,7,1
Acid,Poison,Special,40,100,30,May lower opponent's Special Defense.,Aciddeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,1,0
Acid Armor,Poison,Status,0,0,20,Sharply raises user's Defense.,Acid Armorraises the user's Defense by two stages.,No,1,0
Acid Downpour,Poison,0,0,0,1,Poison type Z-Move.,"Acid Downpouris the Poison type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Acid Spray,Poison,Special,40,100,20,Sharply lowers opponent's Special Defense.,Acid Sprayinflicts damage and lowers the target's Special Defense by two stages.,No,5,0
Acrobatics,Flying,Physical,55,100,15,Stronger when the user does not have a held item.,"Acrobaticsdeals damage, however, if the user is not holding an item, its power doubles to110.",Yes,5,0
Acupressure,Normal,Status,0,0,30,Sharply raises a random stat.,"Acupressureraises a random stat - Attack, Defense, Speed, Special Attack, Special Defense, Accuracy or Evasion - by two stages. It will always choose a stat that is not already maximized.",No,4,0
Aerial Ace,Flying,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,"Aerial Acedeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Shadow ForceorSky Drop.",Yes,3,0
Aeroblast,Flying,Special,100,95,5,High critical hit ratio.,Aeroblastdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,No,2,0
After You,Normal,Status,0,0,15,Gives target priority in the next turn.,After Youforces the target to attack first in the next turn. It can be targeted at opponents or team-mates.,No,5,0
Agility,Psychic,Status,0,0,30,Sharply raises user's Speed.,Agilityraises the user's Speed by two stages.,No,1,0
Air Cutter,Flying,Special,60,95,25,High critical hit ratio.,Air Cutterdeals damage and has an increased critical hit ratio (1⁄8instead of1⁄24).,No,3,0
Air Slash,Flying,Special,75,95,15,May cause flinching.,Air Slashdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,No,4,0
All-Out Pummeling,Fighting,0,0,0,1,Fighting type Z-Move.,"All-Out Pummelingis the Fighting type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
